epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,547.471,1.88214,1.14912,1.20383,0.75612,0.66917,0.71337,0.292,2.14239,1.40538,1.34692,0.0015941,0.0015941,0.0015941
43,560.302,1.84608,1.11373,1.20685,0.81339,0.68821,0.7572,0.3315,2.09571,1.37254,1.33,0.0015842,0.0015842,0.0015842
44,573.132,1.85485,1.12665,1.19503,0.8433,0.65789,0.74649,0.28194,2.22301,1.39891,1.34144,0.0015743,0.0015743,0.0015743
45,585.969,1.79912,1.08065,1.18807,0.8102,0.71053,0.77899,0.33495,2.11712,1.33484,1.33318,0.0015644,0.0015644,0.0015644
46,599.297,1.85343,1.09689,1.17153,0.85621,0.69394,0.75313,0.30839,2.15003,1.33346,1.35602,0.0015545,0.0015545,0.0015545
47,612.193,1.79998,1.07967,1.17772,0.86209,0.67293,0.75558,0.32055,2.16757,1.32356,1.33952,0.0015446,0.0015446,0.0015446
48,625.008,1.8329,1.10993,1.16852,0.83055,0.70677,0.77362,0.32417,2.10225,1.3197,1.30194,0.0015347,0.0015347,0.0015347
49,637.839,1.83119,1.05742,1.18087,0.82157,0.70301,0.76689,0.33,2.11077,1.25236,1.3275,0.0015248,0.0015248,0.0015248
50,650.66,1.75597,1.05807,1.19449,0.82202,0.71189,0.75887,0.30661,2.05507,1.34526,1.30709,0.0015149,0.0015149,0.0015149
51,663.502,1.81241,1.06733,1.17197,0.89336,0.6929,0.78258,0.33359,2.09449,1.25957,1.37282,0.001505,0.001505,0.001505
52,676.331,1.79749,1.05082,1.18149,0.80509,0.74537,0.78728,0.32326,2.12839,1.24582,1.36515,0.0014951,0.0014951,0.0014951
53,689.191,1.78561,1.05945,1.18807,0.88722,0.68021,0.78439,0.32077,2.13858,1.28861,1.35687,0.0014852,0.0014852,0.0014852
54,702.028,1.78252,1.02168,1.17168,0.87439,0.67669,0.77067,0.33202,2.14493,1.3568,1.34205,0.0014753,0.0014753,0.0014753
55,714.856,1.76912,0.98806,1.14362,0.86595,0.70677,0.77298,0.31921,2.09735,1.33318,1.31829,0.0014654,0.0014654,0.0014654
56,727.753,1.74773,0.98709,1.1505,0.86715,0.74812,0.81545,0.35191,2.04098,1.21218,1.28471,0.0014555,0.0014555,0.0014555
57,741.077,1.71518,0.99343,1.16241,0.85956,0.73684,0.80148,0.32966,2.09781,1.17105,1.31332,0.0014456,0.0014456,0.0014456
58,753.892,1.74499,0.99574,1.16771,0.8758,0.69173,0.78359,0.33374,2.02499,1.2285,1.27247,0.0014357,0.0014357,0.0014357
59,766.734,1.70569,0.98305,1.14338,0.83166,0.74436,0.80009,0.35241,1.9879,1.18703,1.28221,0.0014258,0.0014258,0.0014258
60,780.037,1.69508,0.97355,1.14247,0.90698,0.67669,0.78513,0.3262,2.07055,1.30438,1.29465,0.0014159,0.0014159,0.0014159
61,792.876,1.7058,0.95295,1.14809,0.86816,0.71791,0.79582,0.33975,2.08598,1.33196,1.30409,0.001406,0.001406,0.001406
62,805.699,1.70251,0.91931,1.1252,0.8536,0.70146,0.78181,0.33494,2.07972,1.2826,1.30704,0.0013961,0.0013961,0.0013961
63,818.532,1.67092,0.96415,1.16068,0.91626,0.69549,0.79907,0.33085,2.12139,1.3052,1.34178,0.0013862,0.0013862,0.0013862
64,831.359,1.66607,0.93744,1.12873,0.9317,0.68045,0.79131,0.32609,2.09525,1.29469,1.33399,0.0013763,0.0013763,0.0013763
65,844.202,1.68329,0.93391,1.14037,0.87388,0.70329,0.79115,0.31651,2.128,1.24007,1.33858,0.0013664,0.0013664,0.0013664
66,857.116,1.66236,0.92679,1.12638,0.90005,0.69925,0.80106,0.35331,2.04223,1.38098,1.31267,0.0013565,0.0013565,0.0013565
67,870.433,1.60952,0.89857,1.10713,0.89837,0.69789,0.80099,0.32484,2.11222,1.30422,1.36374,0.0013466,0.0013466,0.0013466
68,883.25,1.70105,0.96589,1.1603,0.85311,0.71805,0.78569,0.33339,2.10965,1.23783,1.37157,0.0013367,0.0013367,0.0013367
69,896.092,1.63462,0.90261,1.0944,0.92343,0.73684,0.82447,0.35083,2.10531,1.15915,1.32877,0.0013268,0.0013268,0.0013268
70,908.895,1.61727,0.89089,1.12429,0.85592,0.75935,0.82831,0.3471,2.09083,1.14341,1.31562,0.0013169,0.0013169,0.0013169
71,921.727,1.62742,0.89516,1.11474,0.86909,0.7218,0.82084,0.35159,2.12571,1.21318,1.3483,0.001307,0.001307,0.001307
72,934.544,1.63477,0.88726,1.09044,0.90213,0.72775,0.81402,0.34331,2.08704,1.24924,1.35027,0.0012971,0.0012971,0.0012971
73,947.376,1.65429,0.90459,1.11397,0.88916,0.74812,0.81149,0.34978,2.13181,1.33458,1.37756,0.0012872,0.0012872,0.0012872
74,960.195,1.61307,0.87024,1.09309,0.88161,0.75584,0.81004,0.33949,2.08039,1.20552,1.32909,0.0012773,0.0012773,0.0012773
75,973.081,1.5897,0.8617,1.08757,0.91452,0.73308,0.8208,0.34559,2.04389,1.16005,1.31296,0.0012674,0.0012674,0.0012674
76,985.904,1.63224,0.89894,1.11286,0.8714,0.73873,0.80938,0.34141,2.11654,1.2698,1.3493,0.0012575,0.0012575,0.0012575
77,998.728,1.58543,0.86018,1.08192,0.85909,0.75635,0.81954,0.36324,2.06841,1.21158,1.36136,0.0012476,0.0012476,0.0012476
78,1012.04,1.59872,0.89063,1.12414,0.8911,0.71805,0.81101,0.36204,2.07595,1.17692,1.33687,0.0012377,0.0012377,0.0012377
79,1024.86,1.58315,0.87875,1.09518,0.91946,0.72961,0.8103,0.36842,2.02532,1.30376,1.29255,0.0012278,0.0012278,0.0012278
80,1038.17,1.56992,0.85729,1.09656,0.90928,0.73684,0.81053,0.36042,1.97616,1.17822,1.31273,0.0012179,0.0012179,0.0012179
81,1051.01,1.55725,0.87171,1.12089,0.88871,0.7505,0.81969,0.34825,2.08476,1.27191,1.35443,0.001208,0.001208,0.001208
82,1064.04,1.53662,0.84747,1.09568,0.81763,0.71053,0.77482,0.33406,2.10644,1.18805,1.31934,0.0011981,0.0011981,0.0011981
83,1076.87,1.54823,0.82892,1.09231,0.87158,0.72556,0.80928,0.35533,2.03435,1.19021,1.31415,0.0011882,0.0011882,0.0011882
84,1089.74,1.59878,0.85009,1.09034,0.91686,0.71053,0.81159,0.34428,2.10326,1.209,1.32672,0.0011783,0.0011783,0.0011783
85,1102.58,1.5417,0.83034,1.0523,0.87753,0.75426,0.83147,0.3707,2.0175,1.16517,1.31322,0.0011684,0.0011684,0.0011684
86,1115.87,1.55359,0.81209,1.09153,0.90783,0.74057,0.83173,0.35982,2.03974,1.21561,1.3212,0.0011585,0.0011585,0.0011585
87,1128.69,1.52859,0.80696,1.07621,0.89083,0.74812,0.82688,0.37039,2.02293,1.19081,1.31173,0.0011486,0.0011486,0.0011486
88,1141.51,1.5033,0.8095,1.07163,0.94225,0.73605,0.84455,0.36266,2.04208,1.19301,1.29734,0.0011387,0.0011387,0.0011387
89,1154.34,1.55262,0.83187,1.07625,0.86959,0.75206,0.82375,0.36351,2.0483,1.14873,1.33517,0.0011288,0.0011288,0.0011288
90,1167.17,1.553,0.84407,1.08132,0.84919,0.80441,0.83775,0.35432,2.15989,1.21664,1.39685,0.0011189,0.0011189,0.0011189
91,1180.01,1.51382,0.78416,1.0627,0.89218,0.7594,0.8258,0.36057,2.06771,1.16748,1.34789,0.001109,0.001109,0.001109
92,1192.83,1.50604,0.79668,1.0581,0.82754,0.74436,0.80166,0.34077,2.13931,1.18238,1.34528,0.0010991,0.0010991,0.0010991
93,1205.72,1.52911,0.80774,1.08545,0.89676,0.75564,0.83746,0.37475,2.00624,1.16016,1.31107,0.0010892,0.0010892,0.0010892
94,1219.05,1.52281,0.79505,1.06874,0.86199,0.7782,0.82771,0.38247,2.02292,1.16829,1.31799,0.0010793,0.0010793,0.0010793
95,1232.37,1.4924,0.78862,1.05668,0.84482,0.75728,0.80974,0.3662,2.09164,1.18325,1.36722,0.0010694,0.0010694,0.0010694
96,1245.18,1.45882,0.77594,1.0592,0.91925,0.76316,0.82748,0.37109,2.05898,1.28372,1.34306,0.0010595,0.0010595,0.0010595
97,1258.01,1.50568,0.79976,1.07556,0.82166,0.79323,0.82334,0.37054,2.04818,1.21246,1.33299,0.0010496,0.0010496,0.0010496
