epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6777,2.649,5.61078,1.52057,0.39522,0.19173,0.19728,0.07109,2.55771,2.85198,1.48782,0.000656566,0.000656566,0.000656566
2,25.9951,2.71997,2.5111,1.54776,0.29647,0.2594,0.1801,0.05542,2.64956,3.73991,1.69388,0.00131668,0.00131668,0.00131668
3,38.7419,2.74946,2.46549,1.62612,0.55093,0.31203,0.29845,0.09757,2.81295,3.69494,1.79935,0.0019702,0.0019702,0.0019702
4,52.0761,2.70346,2.40909,1.57464,0.24283,0.16917,0.10866,0.03036,3.24146,7.98606,1.84579,0.0019703,0.0019703,0.0019703
5,64.8209,2.55847,2.19543,1.49963,0.67886,0.42481,0.45984,0.15264,2.51001,2.54883,1.49254,0.0019604,0.0019604,0.0019604
6,78.0534,2.52888,2.07358,1.47816,0.64984,0.41353,0.43316,0.14036,2.49927,2.21696,1.51166,0.0019505,0.0019505,0.0019505
